Year,Month,County,Beneficiaries, Benefit_Amounts_Dollars
2001,4,Madison,"1,200","$1,000,000 "
2001,4,Onondaga,"5,000","$4,330,000 "
2001,4,Oswego,"2,400","$1,940,000 "
2001,4,Genesee,"1,000","$810,000 "
2001,4,Livingston,"1,000","$790,000 "
2001,4,Monroe,"8,200","$7,360,000 "
2001,4,Ontario,"1,400","$1,170,000 "
2001,4,Orleans,800,"$600,000 "
2001,4,Seneca,500,"$390,000 "
2001,4,Wayne,"1,600","$1,250,000 "
2001,4,Wyoming,900,"$630,000 "
2001,4,Yates,300,"$240,000 "
2001,4,Dutchess,"2,000","$1,850,000 "
2001,4,Orange,"2,700","$2,380,000 "
2001,4,Putnam,700,"$730,000 "
2001,4,Rockland,"2,000","$1,830,000 "
2001,4,Sullivan,"1,000","$810,000 "
2001,4,Ulster,"1,800","$1,450,000 "
2001,4,Westchester,"7,700","$7,390,000 "
2001,4,Nassau,"10,700","$9,810,000 "
2001,4,Suffolk,"14,100","$12,480,000 "
2001,4,Fulton,900,"$720,000 "
2001,4,Herkimer,"1,200","$990,000 "
2001,4,Montgomery,"1,200","$910,000 "
2001,4,Oneida,"3,400","$2,930,000 "
2001,4,Otsego,"1,000","$750,000 "
2001,4,Schoharie,400,"$360,000 "
2001,4,Bronx,"13,900","$11,680,000 "
2001,4,Kings,"27,500","$23,170,000 "
2001,4,New York,"19,200","$19,980,000 "
2001,4,Queens,"21,400","$19,300,000 "
2001,4,Richmond,"4,200","$3,850,000 "
2001,4,Clinton,"1,200","$1,060,000 "
2001,4,Essex,800,"$670,000 "
2001,4,Franklin,"1,200","$1,060,000 "
2001,4,Hamilton,100,"$110,000 "
2001,4,Jefferson,"2,600","$2,160,000 "
2001,4,Lewis,900,"$980,000 "
2001,4,St. Lawrence,"2,500","$2,230,000 "
2001,4,Broome,"2,400","$1,920,000 "
2001,4,Chemung,"1,400","$960,000 "
2001,4,Chenango,800,"$710,000 "
2001,4,Delaware,600,"$490,000 "
2001,4,Schuyler,400,"$310,000 "
2001,4,Steuben,"1,700","$1,350,000 "
2001,4,Tioga,700,"$510,000 "
2001,4,Tompkins,700,"$480,000 "
2001,4,Allegany,800,"$680,000 "
2001,4,Cattaraugus,"1,800","$1,290,000 "
2001,4,Chautauqua,"2,900","$1,640,000 "
2001,4,Erie,"14,800","$12,090,000 "
2001,4,Niagara,"5,100","$4,250,000 "
2001,4,Out-of-State,"17,000","$19,670,000 "
2001,4,Unknown,"1,700","$1,690,000 "
2001,5,Albany,"1,900","$1,780,000 "
2001,5,Columbia,400,"$310,000 "
2001,5,Greene,500,"$390,000 "
2001,5,Rensselaer,"1,300","$1,130,000 "
2001,5,Saratoga,"1,600","$1,370,000 "
2001,5,Schenectady,"1,000","$880,000 "
2001,5,Warren,800,"$480,000 "
2001,5,Washington,700,"$430,000 "
2001,5,Cayuga,900,"$690,000 "
2001,5,Cortland,500,"$360,000 "
2001,5,Madison,900,"$760,000 "
2001,5,Onondaga,"4,900","$3,890,000 "
2001,5,Oswego,"2,000","$1,530,000 "
2001,5,Genesee,700,"$590,000 "
2001,5,Livingston,800,"$590,000 "
2001,5,Monroe,"7,400","$6,920,000 "
2001,5,Ontario,"1,000","$840,000 "
2001,5,Orleans,500,"$400,000 "
2001,5,Seneca,300,"$250,000 "
2001,5,Wayne,"1,200","$960,000 "
2001,5,Wyoming,600,"$420,000 "
2001,5,Yates,200,"$140,000 "
2001,5,Dutchess,"1,600","$1,550,000 "
2001,5,Orange,"2,200","$2,040,000 "
2001,5,Putnam,600,"$670,000 "
2001,5,Rockland,"1,600","$1,750,000 "
2001,5,Sullivan,700,"$570,000 "
